 Mach Number             Cd Rocket - (Unpowered) Cd - Rocket (Powered)   Body Skin Friction      Nose Pressure Drag      Base Drag               Body Pressure Drag      Fin Pressure Drag       Interference Drag       Fin Skin Friction      
 0.00000000000000E+0000  6.33411267810096E-0001  6.18309191674589E-0001  4.33976238106939E-0001  0.00000000000000E+0000  2.12300831516932E-0002  4.19792450814876E-0002  1.99693650858345E-0005  6.83512575018429E-0002  6.78544746030475E-0002 
 4.00000000000000E-0002  5.92552794801842E-0001  5.76984938203574E-0001  4.08396128656199E-0001  0.00000000000000E+0000  2.18848645119587E-0002  3.95048384445525E-0002  2.04267692341183E-0005  6.43223902633513E-0002  5.84241461565471E-0002 
 8.00000000000000E-0002  5.51499189557461E-0001  5.35385719539745E-0001  3.81207214145885E-0001  0.00000000000000E+0000  2.26518728464164E-0002  3.68748094118413E-0002  2.36280193228870E-0005  6.00401362279769E-0002  5.07015289060179E-0002 
 1.20000000000000E-0001  5.28046515796021E-0001  5.11583715387716E-0001  3.65200897018688E-0001  0.00000000000000E+0000  2.31429518989309E-0002  3.53264916687647E-0002  3.23120226657879E-0005  5.75191412804434E-0002  4.68247219065281E-0002 
 1.60000000000000E-0001  5.11671126129481E-0001  4.94946274473095E-0001  3.53846343836779E-0001  0.00000000000000E+0000  2.35113363340808E-0002  3.42281468080105E-0002  4.92015989757373E-0005  5.57307991542926E-0002  4.43052983973428E-0002 
 2.00000000000000E-0001  4.99062894573070E-0001  4.82125068130965E-0001  3.45003820574410E-0001  0.00000000000000E+0000  2.38107304286048E-0002  3.33727947896858E-0002  7.69850617862245E-0005  5.43381017404695E-0002  4.24604619781135E-0002 
 2.40000000000000E-0001  4.88763371434346E-0001  4.71643631174733E-0001  3.37710776019697E-0001  0.00000000000000E+0000  2.40664598685486E-0002  3.26673264302015E-0002  1.18290795472014E-0004  5.31894472231023E-0002  4.10110710973238E-0002 
 2.80000000000000E-0001  4.80272600291874E-0001  4.62992052779828E-0001  3.31454763193743E-0001  0.00000000000000E+0000  2.42925182799829E-0002  3.20621718788849E-0002  1.75655356187207E-0004  5.22041252030145E-0002  4.00833663800615E-0002 
 3.20000000000000E-0001  4.72949136586068E-0001  4.55522809186913E-0001  3.25932391330750E-0001  0.00000000000000E+0000  2.44974516346692E-0002  3.15279836411165E-0002  2.51485931742388E-0004  5.13343516345931E-0002  3.94054724131972E-0002 
 3.60000000000000E-0001  4.66422117451974E-0001  4.48861058946197E-0001  3.20950370754078E-0001  0.00000000000000E+0000  2.46868529177134E-0002  3.10460644842027E-0002  3.48018347074063E-0004  5.05496833937673E-0002  3.88411275551382E-0002 
 4.00000000000000E-0001  4.60505018503600E-0001  4.42817538454497E-0001  3.16378771426032E-0001  0.00000000000000E+0000  2.48645728452853E-0002  3.06038460589646E-0002  4.67272170917075E-0004  4.98296564996001E-0002  3.83608995028007E-0002 
 4.40000000000000E-0001  4.55068081764501E-0001  4.37260529447749E-0001  3.12126615634353E-0001  0.00000000000000E+0000  2.50333671357874E-0002  3.01925279396081E-0002  6.11004830253721E-0004  4.91599419624106E-0002  3.79446242620883E-0002 
 4.80000000000000E-0001  4.50017963296190E-0001  4.32095241826928E-0001  3.08128131210422E-0001  0.00000000000000E+0000  2.51952687619185E-0002  2.98057478746006E-0002  7.80666931170015E-0004  4.85301806656415E-0002  3.75779678524376E-0002 
 5.20000000000000E-0001  4.45285622123077E-0001  4.27251541327589E-0001  3.04334536023145E-0001  0.00000000000000E+0000  2.53518146390736E-0002  2.94387870870669E-0002  9.77361175200264E-0004  4.79326894236453E-0002  3.72504337749462E-0002 
 5.60000000000000E-0001  4.40818753921072E-0001  4.22676280379053E-0001  3.00708887801567E-0001  0.00000000000000E+0000  2.55041901801080E-0002  2.90880720895435E-0002  1.20180730984113E-0003  4.73616498287468E-0002  3.69541467112656E-0002 
 6.00000000000000E-0001  4.36576873264655E-0001  4.18328312244460E-0001  2.97222725953055E-0001  0.00000000000000E+0000  2.56533250383103E-0002  2.87508498414527E-0002  1.45431543093755E-0003  4.68125793376061E-0002  3.66830776632930E-0002 
 6.40000000000000E-0001  4.31833200013985E-0001  4.13480330842801E-0001  2.93853808424109E-0001  0.00000000000000E+0000  2.57999585673052E-0002  2.84249688318751E-0002  1.73476964877246E-0003  4.62819748267971E-0002  3.57377197151264E-0002 
 6.80000000000000E-0001  4.27506305742491E-0001  4.09050484469184E-0001  2.90584543169541E-0001  0.00000000000000E+0000  2.59446858001111E-0002  2.81087273529486E-0002  2.04262364457866E-0003  4.57670655492027E-0002  3.50586602261091E-0002 
 7.20000000000000E-0001  4.23431743291009E-0001  4.04873981836437E-0001  2.87400874516498E-0001  0.00000000000000E+0000  2.60879905024144E-0002  2.78007657760031E-0002  2.37690900746802E-0003  4.52656377363485E-0002  3.44995657522766E-0002 
 7.60000000000000E-0001  4.19474656953796E-0001  4.00815685014835E-0001  2.84291475775450E-0001  3.09165748648941E-0006  2.62302694169230E-0002  2.74999884514751E-0002  2.73625650174688E-0003  4.47759074346334E-0002  3.39376677160809E-0002 
 8.00000000000000E-0001  4.16258266504808E-0001  3.97514236710116E-0001  2.81717177918334E-0001  7.72914371622354E-0005  2.63498414104475E-0002  2.72509723276245E-0002  3.11892963536082E-0003  4.43704555221376E-0002  3.33735982537417E-0002 
 8.40000000000000E-0001  4.14143426175341E-0001  3.95349805766566E-0001  2.80232408552723E-0001  2.50424256405642E-0004  2.64195545314169E-0002  2.67736116740145E-0002  3.52286915380301E-0003  4.41366043470539E-0002  3.28079536599233E-0002 
